company, stock
ADS Inc., ADS
BAE Systems, BAESY
Battelle Ventures, PRIVATE
Lockheed Martin, LMT
Northrop Grumman Corporation, NOC
RISA, PRIVATE
Rubrik, PRIVATE
Shield AI, PRIVATE
STI-CO Industries Inc., PRIVATE
Volansi, PRIVATE
AeroVironment Inc., AVAV
Airtec Inc, PRIVATE
Alteryx Inc., AYX
Areté, PRIVATE
Astronics Corporation, ATRO
AVI-SPL, PRIVATE
BeyondTrust, PRIVATE
Boeing, BA
BREN-TRONICS Inc., PRIVATE
Cohesity, PRIVATE
CORE Survival Inc., PRIVATE
Crestron Electronics Inc., PRIVATE
Critical Frequency Design, PRIVATE
Cyber Defense Technologies LLC, PRIVATE
Dataminr, PRIVATE
Domo Tactical Communications, PRIVATE
Dynamit Nobel Defence, PRIVATE
Easy Aerial, PRIVATE
Elastic N.V., ESTC
Enveil, PRIVATE
Epiq Solutions, PRIVATE
Federal Contracts Corp, PRIVATE
Flashpoint, PRIVATE
FLIR Systems, FLIR
General Atomics Electromagnetic Systems, PRIVATE
General Dynamics Mission Systems, PRIVATE
Glenair Inc., PRIVATE
Google Cloud Platform, PRIVATE
Greystones Group, PRIVATE
Hascall-Denke, PRIVATE
Hewlett Packard Enterprise, HPE
Insitu, PRIVATE
Intelligence Communications and Engineering Inc., PRIVATE
IrvinGQ, PRIVATE
Janteq Corporation, PRIVATE
KBR, KBR
KF Armory Defense, PRIVATE
Klas Telecom, PRIVATE
Leonardo DRS, PRIVATE
L3Harris, LHX
MAG Aerospace, PRIVATE
MCP COMPUTER PRODUCTS INC, PRIVATE
MilSource, PRIVATE
Mission Essential, PRIVATE
Modus Operandi, PRIVATE
Motorola Solutions, MSI
MRIGlobal, PRIVATE
Network Allies LLC, PRIVATE
MVP Robotics, PRIVATE
NovAtel, PRIVATE
Novetta, PRIVATE
Nutanix, NTNX
NVIDIA, NVDA
Nyxcell, PRIVATE
Performance Drone Works, PRIVATE
Pinnacle Solutions Inc., PRIVATE
Pixels on Target LLC, PRIVATE
PowerFilm Solar, PRIVATE
Projects Unlimited, PRIVATE
Raptor Photonics, PRIVATE
Raydon Corporation, PRIVATE
Red Hat, PRIVATE
SAIC, SAIC
Samsung Electronics America, 005930.KS
Schmidt & Bender Inc. / Schmidt & Bender GmbH & Co. KG, PRIVATE
Semantic AI, PRIVATE
ServiceNow, NOW
Shark Marine Technologies Inc., PRIVATE
SIG SAUER, PRIVATE
Sipi Metals Corp, PRIVATE
SOFX, PRIVATE
St. Michael's Inc., PRIVATE
Streamlight Inc., PRIVATE
Tampa Microwave, PRIVATE
Teledyne Brown Engineering, PRIVATE
Terma North America, PRIVATE
Thales Defense & Security Inc., PRIVATE
Thinklogical A Belden Brand, PRIVATE
Tomahawk Robotics, PRIVATE
TrellisWare Technologies, PRIVATE
United States Marine Inc., PRIVATE
USSOCOM Engage SOF (eSOF), PRIVATE
USSOCOM's Office of Small Business Programs (OSBP), PRIVATE
USSOCOM SBIR, PRIVATE
USSOCOM Technical Experimentation, PRIVATE
VATC LLC, PRIVATE
Vertex Aerospace, PRIVATE
ZMicro Inc., PRIVATE
W. L. Gore & Associates Inc., PRIVATE